,2,4,6,8,10
perplexity,"[4667.451298399428, 4953.680719519309, 4550.6220088106065, 5104.382246239812, 4892.239329657814]","[10058.930659034777, 12089.65606356782, 10879.363017364078, 13047.14713659212, 11853.813974209805]","[18037.17996828351, 29699.027799114745, 24122.949630793293, 31108.469770375297, 23980.10797614958]","[41895.56309574395, 96477.6295641175, 34935.23911566299, 69605.92037378724, 57626.96709518111]","[133591.4833486927, 184989.00426883445, 145668.85336992654, 141426.43666510936, 187937.74607938225]"
coherence,"[-0.249837115616252, -0.29780191098953, -0.29205679292599807, -0.2672194766986641, -0.3316509563198957]","[-0.23663768078625702, -0.30578404795131564, -0.32072805338508176, -0.2734072651215256, -0.3409285755044119]","[-0.24267349095941834, -0.31041147268720853, -0.31790264561539955, -0.2815513727196948, -0.3389227913965029]","[-1.4137453084193825, -0.29462062493941354, -1.1405052635042856, -0.2854500872410126, -0.32715679175546475]","[-0.2674862680250266, -0.3955588321237607, -0.30004949824015675, -1.3904588614853048, -0.34966017696032264]"
homogeneity,"[0.05115474376099337, 0.047314662172313234, 0.053826163404646486, 0.11076504858573111, 0.04581998798234721]","[0.09354427304164449, 0.037179933274991965, 0.026546706213276053, 0.0634673548881149, 0.1920887770512112]","[0.07525772337016971, 0.28769266539008503, 0.08308853993594137, 0.15785835567655487, 0.0845260907572575]","[0.0, 0.11519397127867977, 0.04388301757797446, 0.06587939862685495, 0.008379967984727241]","[0.09083659495298219, 0.1186850606080752, 0.021486788523709048, 0.017557756214426252, 0.20719416629650345]"
completeness,"[0.08492773086385512, 0.11428263341017261, 0.1465270068191234, 0.19100980936148695, 0.11013562450302525]","[0.1526667070479886, 0.1857390784732597, 0.07103609846728344, 0.06949708333955142, 0.35837675552297843]","[0.2161102627985271, 0.3123747320694189, 0.08428931426666443, 0.23016794209593402, 0.13421144665273843]","[0.0, 0.10266481109868993, 0.254371505773028, 0.11740886699828838, 0.11890839957419723]","[0.09029909136118701, 0.16385083956208352, 0.2916857879690182, 0.14175616935211197, 0.29677604660538914]"
silhouette,"[-0.003255716780618346, 0.04519004420964989, -0.03322754126276702, -0.004199062181406193, -0.028122696594135244]","[-0.0008891959323583094, 0.02741344897039472, -0.07936905544771196, -0.02374396958166564, -0.03448969891779351]","[0.038548584331844826, -0.0621884031859911, -0.18655359461980153, -0.15667185509645995, -0.057397517926854734]","[0.0, -0.10224498645927405, -0.11149568658044003, -0.1469988875163746, 0.1808137051656684]","[-0.045633591949503984, -0.16477336045973906, -0.24336395446307943, -0.13530736280404343, -0.0975091272099111]"
time,"[0.6979685500045889, 0.8245462129998486, 0.7714664939994691, 0.7147434340004111, 0.7331633930007229]","[0.997633297003631, 0.8179177040001377, 1.128750060001039, 0.730572795997432, 0.6780916889983928]","[0.6694712049938971, 0.7363220699990052, 0.762082849003491, 0.6658322969960864, 0.7199645779983257]","[0.6539858149990323, 0.8026534949967754, 0.8082408600021154, 0.9052064050047193, 0.679681633002474]","[0.7473236000005272, 0.7420106860008673, 0.7426013380027143, 0.7186503240009188, 0.7193241870045313]"
train time,"[0.6351627559997723, 0.7441072919973521, 0.7088100989931263, 0.6331315010029357, 0.6395240479978384]","[0.9290730670036282, 0.7561424720042851, 1.0659345050007687, 0.6669304289971478, 0.6153121940005803]","[0.6045889849992818, 0.6647315329973935, 0.6917653650016291, 0.5993879919988103, 0.6545460669949534]","[0.598860550999234, 0.7068496639985824, 0.7455763649995788, 0.8404239250012324, 0.6229564839959494]","[0.6802066040036152, 0.6762162640006864, 0.6734093970007962, 0.6582470759967691, 0.6519866500020726]"
test time,"[0.026813249998667743, 0.027935733000049368, 0.027300902002025396, 0.027527821002877317, 0.04057584599649999]","[0.03133061200060183, 0.02626560899807373, 0.02682113999617286, 0.027060621003329288, 0.026787719994899817]","[0.027297161999740638, 0.03403874899959192, 0.03353560800314881, 0.029783129000861663, 0.028275313998165075]","[0.019566431001294404, 0.05809734299691627, 0.02628450900374446, 0.027171471003384795, 0.023459432006347924]","[0.0275105819964665, 0.02743782100151293, 0.0317384630034212, 0.0245343540009344, 0.02803224400122417]"
evaluation time,"[0.03598432400031015, 0.0524959980029962, 0.03534864300308982, 0.054076311993412673, 0.053055099000630435]","[0.03722183799982304, 0.03550187299697427, 0.03598822499770904, 0.036574945996108, 0.03598534500633832]","[0.037576267997792456, 0.037538928001595195, 0.03676988599909237, 0.036651895999966655, 0.03713341700495221]","[0.0355518430005759, 0.037699798005633056, 0.03637270599574549, 0.037600648996885866, 0.03325984699768014]","[0.03959890399710275, 0.03834959099913249, 0.037446997994265985, 0.03586195399839198, 0.039298873001825996]"
numClusters,2,4,6,8,10
numTopics,6,6,6,6,6
numAbstracts,300,300,300,300,300
preprocessing?,False,False,False,False,False
