,2,4,6,8,10
perplexity,"[4479.1857557238, 5717.685506756111, 3611.749910001376, 5426.635661452881, 5128.129167747895]","[8939.448617856842, 9489.958747784804, 10213.557610645481, 13717.655855822948, 10819.343700674346]","[18991.554928882426, 16636.575460851116, 17342.907862118776, 14101.700014288492, 21034.89288015236]","[23319.319194301344, 25294.84792317192, 30286.99540887247, 28216.208419336202, 20441.423055938943]","[47730.12648279952, 39344.57565643262, 67650.03804620134, 46398.91512168715, 64520.27508152801]"
coherence,"[-20.810225159585194, -20.823602635188813, -21.559101753021253, -20.823602635188813, -20.823602635188813]","[-21.026225054227773, -21.55958508746552, -20.94927144531177, -20.80412175798148, -20.85483673788668]","[-20.765692748144318, -21.307182730159365, -21.10494900427732, -21.784544648509833, -21.07103801411407]","[-20.894905985871166, -21.526822466887953, -20.90293849610518, -21.453474638179614, -21.409667417161927]","[-21.3596784066652, -21.2830756649632, -21.139838981509456, -21.128353327484113, -21.277979829261103]"
homogeneity,"[0.07698255909806588, 0.16048416139031513, 0.0, 0.26054774237533046, 0.06826040914962088]","[0.035832922695250846, 0.008320316734626182, 0.04572339682879494, 0.2826114419705737, 0.19064813964779664]","[0.060901164063291935, 0.021486788523709048, 0.07090752365542743, 0.040973132372407205, 0.2308467519580449]","[0.12715283352571774, 0.267670171471893, 0.16157674397800045, 0.10566350983896262, 0.0]","[0.10007541285775551, 0.021486788523709048, 0.2393162400318293, 0.15103057574379963, 0.29746935248970763]"
completeness,"[0.26702695230929263, 0.29012819727109607, 0.0, 0.4829869541473782, 0.2525613648654026]","[0.0743740213479018, 0.11294931954178844, 0.06876893959236567, 0.2517351035151324, 0.32419969959016315]","[0.21853175246151751, 0.2916857879690182, 0.06868308975012231, 0.2435350460041914, 0.36848437379522747]","[0.23887648793556715, 0.45015552244771556, 0.17402791728397526, 0.1835641308391962, 0.0]","[0.19394677539786756, 0.2916857879690182, 0.19102064830609336, 0.33480877040808094, 0.2698668600810848]"
silhouette,"[0.07758578919908725, 0.0414835543191714, 0.0, -0.0014330139433014833, 0.10610915560063622]","[-0.022080903837689007, -0.09364154459845242, -0.15925368099735, -0.08702374286958202, -0.047006548157325925]","[-0.1723435200169679, -0.15737561089905053, -0.0976031396359401, -0.05157628536281385, -0.09857250881093957]","[-0.09423134479606445, 0.012217813783173263, -0.1859104967294058, -0.007421623725482804, 0.0]","[-0.06000993407973152, -0.07597046399711496, -0.21981493695052906, -0.18561741156196268, -0.19505908446543194]"
time,"[2.2232541509947623, 2.6260971570009133, 1.3644084480038146, 2.8018198089994257, 2.465378155997314]","[2.1299848159978865, 1.8828050279989839, 2.146022109001933, 2.0068235830040067, 2.0280815890000667]","[1.8772173239995027, 1.8410710789976292, 2.0110745440033497, 1.9778239969964488, 1.9499042449970148]","[1.9773258659988642, 1.9704721479938598, 1.9169412580013159, 2.0230855050031096, 1.7094653229942196]","[1.8929332850020728, 1.7993102489999728, 1.767341144994134, 1.8971658760056016, 1.8454438299959293]"
train time,"[2.1452895769980387, 2.544278872999712, 1.3015876839999692, 2.719930683997518, 2.386088747996837]","[2.048008641002525, 1.8056654459942365, 2.064572355004202, 1.9201750159991207, 1.948206779998145]","[1.7967672329978086, 1.7584891820006305, 1.92744791500445, 1.9000835129991174, 1.8682088509958703]","[1.893510535999667, 1.8863592379930196, 1.8309758420000435, 1.937848292000126, 1.6342613059969153]","[1.8067240480013425, 1.713551243999973, 1.6798081259985338, 1.8152475910028443, 1.7597735059971455]"
test time,"[0.017638985998928547, 0.019937842000217643, 0.007927539998490829, 0.020436014005099423, 0.01865421899856301]","[0.0197732119995635, 0.017248565003683325, 0.01953642099397257, 0.021890897005505394, 0.018653888000699226]","[0.018555597998783924, 0.01938123099535005, 0.01981389199499972, 0.01713377499982016, 0.019372521004697774]","[0.019852331999572925, 0.019250930003181566, 0.020745735004311427, 0.020091732003493235, 0.012554503002320416]","[0.019730983003682923, 0.020027143000334036, 0.021143444995686878, 0.018248778003908228, 0.020554123002511915]"
evaluation time,"[0.06032085799961351, 0.06187607200263301, 0.05488977400091244, 0.06144954099727329, 0.06063098899903707]","[0.062200102998758666, 0.05988667700148653, 0.06191013300121995, 0.06475444999523461, 0.06121626100502908]","[0.06189023300248664, 0.06319470499875024, 0.06380990700563416, 0.060602849000133574, 0.06231941300211474]","[0.06395999799860874, 0.0648592900033691, 0.06521553099446464, 0.06514242100092815, 0.06264542399730999]","[0.06647470399911981, 0.06572720200347248, 0.06638600400037831, 0.06366589699609904, 0.06511279100232059]"
numClusters,2,4,6,8,10
numTopics,6,6,6,6,6
numAbstracts,300,300,300,300,300
preprocessing?,False,False,False,False,False
